Input1,Input2,Input3,Output
-46.21962196219622,-20.0,-8.865886588658865,0.014094960400168163
-46.1996199619962,-20.0,-8.85988598859886,0.014173125217311235
-46.17961796179618,-20.0,-8.853885388538854,0.014251699413971248
-46.15961596159616,-20.0,-8.847884788478847,0.014330684993331823
-46.13961396139614,-20.0,-8.841884188418842,0.014410083967588345
-46.11961196119612,-20.0,-8.835883588358836,0.014489898357984164
-46.0996099609961,-20.0,-8.82988298829883,0.014570130194847448
-46.07960796079608,-20.0,-8.823882388238824,0.014650781517627201
-46.05960596059606,-20.0,-8.817881788178818,0.01473185437493034
-46.039603960396036,-20.0,-8.811881188118813,0.014813350824558308
-46.01960196019602,-20.0,-8.805880588058805,0.014895272933544122
-45.999599959996,-20.0,-8.7998799879988,0.014977622778189176
-45.97959795979598,-20.0,-8.793879387938794,0.015060402444100797
-45.95959595959596,-20.0,-8.787878787878789,0.015143614026229248
-45.939593959395935,-20.0,-8.781878187818782,0.015227259628905287
-45.91959195919592,-20.0,-8.775877587758776,0.015311341365877659
-45.8995899589959,-20.0,-8.769876987698769,0.01539586136035106
-45.87958795879588,-20.0,-8.763876387638764,0.015480821745023335
-45.85958595859586,-20.0,-8.757875787578758,0.01556622466212421
-45.83958395839584,-20.0,-8.751875187518753,0.01565207226345273
-45.81958195819582,-20.0,-8.745874587458745,0.01573836671041587
-45.7995799579958,-20.0,-8.73987398739874,0.015825110174066563
-45.77957795779578,-20.0,-8.733873387338734,0.01591230483514233
-45.75957595759576,-20.0,-8.727872787278727,0.01599995288410394
-45.73957395739574,-20.0,-8.721872187218722,0.016088056521173944
-45.71957195719572,-20.0,-8.715871587158716,0.01617661795637565
-45.6995699569957,-20.0,-8.70987098709871,0.016265639409572024
-45.67956795679568,-20.0,-8.703870387038704,0.016355123110505028
-45.65956595659566,-20.0,-8.697869786978698,0.016445071298834536
-45.63956395639564,-20.0,-8.691869186918693,0.016535486224177887
-45.61956195619562,-20.0,-8.685868586858685,0.016626370146149514
-45.5995599559956,-20.0,-8.67986798679868,0.016717725334400274
-45.57955795579558,-20.0,-8.673867386738674,0.01680955406865753
-45.559555955595556,-20.0,-8.667866786678669,0.01690185863876492
-45.53955395539554,-20.0,-8.661866186618662,0.016994641344722384
-45.51955195519552,-20.0,-8.655865586558656,0.01708790449672638
-45.4995499549955,-20.0,-8.649864986498649,0.01718165041521017
-45.47954795479548,-20.0,-8.643864386438644,0.017275881430884373
-45.459545954595455,-20.0,-8.637863786378638,0.01737059988477739
-45.43954395439544,-20.0,-8.631863186318633,0.017465808128276063
-45.41954195419542,-20.0,-8.625862586258625,0.017561508523166965
-45.3995399539954,-20.0,-8.61986198619862,0.01765770344167668
-45.37953795379538,-20.0,-8.613861386138614,0.017754395266513713
