Input1,Input2,Input3,Input4,Output1,Output2,normalisedKPI_1,normalisedKPI_2,normalised_threshold_1,normalised_threshold_2
-23.837383738373838,-20.0,-2.151215121512152,-2.151215121512152,2.384734362941061,0.11000838907664301,-0.5491530494113824,-0.6099363826727469,1.372534185984296,1.0814299669333853
-23.817381738173815,-20.0,-2.1452145214521456,-2.1452145214521456,2.393427688153939,0.11055305427848519,-0.5489229896305888,-0.6099248514611942,1.372534185984296,1.0814299669333853
-23.797379737973795,-20.0,-2.13921392139214,-2.13921392139214,2.4021486436209605,0.11110022838830909,-0.5486921986439498,-0.6099132671330691,1.372534185984296,1.0814299669333853
-23.777377737773776,-20.0,-2.133213321332134,-2.133213321332134,2.4108973004823335,0.11164992196937337,-0.5484606745688141,-0.6099016294647348,1.372534185984296,1.0814299669333853
-23.757375737573756,-20.0,-2.1272127212721275,-2.1272127212721275,2.419673729996692,0.11220214562440156,-0.5482284155193962,-0.6098899382317188,1.372534185984296,1.0814299669333853
-23.737373737373737,-20.0,-2.121212121212122,-2.121212121212122,2.428478003541037,0.1127569099957065,-0.5479954196067782,-0.6098781932087107,1.372534185984296,1.0814299669333853
-23.717371737173718,-20.0,-2.1152115211521156,-2.1152115211521156,2.4373101926106986,0.11331422576531239,-0.547761684938911,-0.6098663941695593,1.372534185984296,1.0814299669333853
-23.697369736973695,-20.0,-2.10921092109211,-2.10921092109211,2.4461703688192675,0.11387410365508077,-0.5475272096206155,-0.6098545408872702,1.372534185984296,1.0814299669333853
-23.677367736773675,-20.0,-2.103210321032104,-2.103210321032104,2.4550586038985496,0.11443655442683308,-0.5472919917535842,-0.6098426331340026,1.372534185984296,1.0814299669333853
-23.657365736573656,-20.0,-2.0972097209720975,-2.0972097209720975,2.4639749696984956,0.11500158888247476,-0.5470560294363834,-0.6098306706810674,1.372534185984296,1.0814299669333853
-23.637363736373636,-20.0,-2.091209120912092,-2.091209120912092,2.472919538187169,0.11556921786412296,-0.5468193207644532,-0.609818653298924,1.372534185984296,1.0814299669333853
