Input1,Input2,Output
-94.35943594359436,-8.307830783078309,7.775524346030569e-27
-94.33943394339434,-8.301830183018302,7.279674811766709e-27
-94.31943194319432,-8.295829582958296,6.814566456963933e-27
-94.2994299429943,-8.289828982898289,6.378349125981885e-27
-94.27942794279429,-8.283828382838283,5.969280584089955e-27
-94.25942594259426,-8.277827782778278,5.585720427481748e-27
-94.23942394239424,-8.271827182718273,5.226124325059238e-27
-94.21942194219422,-8.265826582658265,4.889038574578956e-27
-94.1994199419942,-8.25982598259826,4.57309495663174e-27
-94.17941794179418,-8.253825382538254,4.277005870757159e-27
-94.15941594159416,-8.247824782478247,3.999559738796534e-27
-94.13941394139414,-8.241824182418242,3.7396166613360724e-27
-94.11941194119412,-8.235823582358236,3.496104313817091e-27
-94.0994099409941,-8.22982298229823,3.268014069570517e-27
-94.07940794079408,-8.223822382238223,3.0543973376868284e-27
-94.05940594059406,-8.217821782178218,2.854362104249697e-27
-94.03940394039404,-8.211821182118213,2.667069666048375e-27
-94.01940194019402,-8.205820582058205,2.491731546450305e-27
-93.99939993999399,-8.1998199819982,2.3276065836393436e-27
-93.97939793979398,-8.193819381938194,2.1739981819356163e-27
-93.95939593959396,-8.187818781878189,2.030251717393996e-27
-93.93939393939394,-8.181818181818182,1.895752089332074e-27
-93.91939193919391,-8.175817581758176,1.7699214098764507e-27
-93.89938993899389,-8.169816981698169,1.6522168240248586e-27
-93.87938793879388,-8.163816381638163,1.5421284531175792e-27
-93.85938593859386,-8.157815781578158,1.439177454980506e-27
-93.83938393839384,-8.151815181518153,1.3429141943577164e-27
-93.81938193819381,-8.145814581458145,1.2529165175870375e-27
-93.7993799379938,-8.13981398139814,1.1687881257904199e-27
-93.77937793779378,-8.133813381338134,1.0901570411535272e-27
-93.75937593759376,-8.127812781278127,1.0166741611577248e-27
-93.73937393739374,-8.121812181218122,9.480118958988287e-28
-93.71937193719371,-8.115811581158116,8.838628838865976e-28
-93.6993699369937,-8.10981098109811,8.239387819649026e-28
-93.67936793679368,-8.103810381038103,7.679691252251963e-28
-93.65936593659366,-8.097809780978098,7.1570025300697025e-28
-93.63936393639364,-8.091809180918093,6.668942972892724e-28
-93.61936193619361,-8.085808580858085,6.213282299756746e-28
-93.5993599359936,-8.07980798079808,5.787929657643028e-28
-93.57935793579358,-8.073807380738074,5.390925174729655e-28
-93.55935593559356,-8.067806780678069,5.020432008594787e-28
-93.53935393539354,-8.061806180618062,4.6747288613800125e-28
-93.51935193519353,-8.055805580558056,4.352202935444776e-28
-93.4993499349935,-8.04980498049805,4.051343304486452e-28
-93.47934793479348,-8.043804380438043,3.770734676475024e-28
-93.45934593459346,-8.037803780378038,3.509051526042319e-28
-93.43934393439343,-8.031803180318033,3.265052575195119e-28
-93.41934193419343,-8.025802580258025,3.037575602390965e-28
-93.3993399339934,-8.01980198019802,2.825532561110431e-28
-93.37933793379338,-8.013801380138014,2.627904990106734e-28
-93.35933593359336,-8.007800780078007,2.4437396985041964e-28
-93.33933393339333,-8.001800180018002,2.272144709847639e-28
-93.31933193319333,-7.995799579957996,2.1122854500946324e-28
-93.2993299329933,-7.98979897989799,1.96338116537947e-28
-93.27932793279328,-7.9837983798379835,1.8247015561698097e-28
-93.25932593259326,-7.977797779777978,1.695563615189974e-28
-93.23932393239323,-7.9717971797179725,1.5753286571924377e-28
-93.21932193219322,-7.965796579657965,1.4633995293331442e-28
-93.1993199319932,-7.95979597959796,1.3592179915402167e-28
-93.17931793179318,-7.953795379537954,1.2622622568657476e-28
